country,iso2c,iso3c,year,ur,status,lastupdated,region,capital,longitude,latitude,income,lending
Africa Eastern and Southern,ZH,AFE,2012,6.56494808354838,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2009,6.33860283703657,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2005,7.12096369496139,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2004,7.31376856783482,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2003,7.79705056216964,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2002,7.96818023018135,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2001,7.73389701761912,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2000,7.72241021555621,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2011,6.75945470450618,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2010,6.88799367317128,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1998,7.8131720213319,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2008,6.28145284382691,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2007,6.74944803977414,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2006,6.99743757182967,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1991,7.94831664397637,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1993,7.90060804713089,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1996,7.84465832025375,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1999,7.78782393932338,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1994,7.87695320014342,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1992,7.92935341169876,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1995,7.85858840217418,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1997,7.85650462566461,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2004,4.73878187832306,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1992,4.50542170580408,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2019,6.06921045419759,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1997,4.58231123114834,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1991,4.39347731498146,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1998,4.64316369719505,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2020,6.7800106671074,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2006,4.65921090615874,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2018,6.04723153478029,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2017,6.02560393235222,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2016,5.57622118955993,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2015,4.63902866914269,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1999,4.84877078191771,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1996,4.54724456801306,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1995,4.50831965160974,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1994,4.52090049705154,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1993,4.52359157419518,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2021,6.84338114757291,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2005,4.73804398973985,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2003,4.75448288549381,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2002,4.78230003933821,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2001,4.86394337921465,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2000,4.91501443774927,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2013,4.42055774071997,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2008,4.61036582016602,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2007,4.6415344846759,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2014,4.69796083970442,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2012,4.64727067901363,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2011,4.55877720636734,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2010,4.56605687734374,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2009,4.59406582181883,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Albania,AL,ALB,2021,11.8190002441406,,2022-12-22,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,2020,13.3290004730225,,2022-12-22,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,2019,11.4700002670288,,2022-12-22,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,2018,12.3000001907349,,2022-12-22,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,2017,13.6199998855591,,2022-12-22,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,2016,15.4200000762939,,2022-12-22,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,2015,17.1900005340576,,2022-12-22,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,2014,18.0499992370605,,2022-12-22,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,2013,15.8699998855591,,2022-12-22,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,2012,13.3800001144409,,2022-12-22,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,2011,13.4799995422363,,2022-12-22,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,2010,14.0900001525879,,2022-12-22,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,2009,13.6700000762939,,2022-12-22,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,2008,13.0600004196167,,2022-12-22,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,2007,15.9700002670288,,2022-12-22,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,2006,15.6300001144409,,2022-12-22,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,2005,15.9700002670288,,2022-12-22,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,2004,16.3099994659424,,2022-12-22,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,2003,16.9890003204346,,2022-12-22,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,2002,17.8950004577637,,2022-12-22,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,2001,18.5750007629395,,2022-12-22,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,2000,19.0279998779297,,2022-12-22,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,1999,20.8400001525879,,2022-12-22,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,1998,20.0470008850098,,2022-12-22,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,1997,16.8759994506836,,2022-12-22,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,1996,13.9309997558594,,2022-12-22,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,1995,14.6110000610352,,2022-12-22,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,1994,20.8400001525879,,2022-12-22,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,1993,25.257999420166,,2022-12-22,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,1992,30.0149993896484,,2022-12-22,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,1991,10.3070001602173,,2022-12-22,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Algeria,DZ,DZA,2021,12.7040004730225,,2022-12-22,Middle East & North Africa,Algiers,3.05097,36.7397,Lower middle income,IBRD
Algeria,DZ,DZA,2020,12.5500001907349,,2022-12-22,Middle East & North Africa,Algiers,3.05097,36.7397,Lower middle income,IBRD
Algeria,DZ,DZA,2019,10.5129995346069,,2022-12-22,Middle East & North Africa,Algiers,3.05097,36.7397,Lower middle income,IBRD
Algeria,DZ,DZA,2018,10.4200000762939,,2022-12-22,Middle East & North Africa,Algiers,3.05097,36.7397,Lower middle income,IBRD
Algeria,DZ,DZA,2017,10.3330001831055,,2022-12-22,Middle East & North Africa,Algiers,3.05097,36.7397,Lower middle income,IBRD
Algeria,DZ,DZA,2016,10.1999998092651,,2022-12-22,Middle East & North Africa,Algiers,3.05097,36.7397,Lower middle income,IBRD
Algeria,DZ,DZA,2015,11.210000038147,,2022-12-22,Middle East & North Africa,Algiers,3.05097,36.7397,Lower middle income,IBRD
Algeria,DZ,DZA,2014,10.210000038147,,2022-12-22,Middle East & North Africa,Algiers,3.05097,36.7397,Lower middle income,IBRD
Algeria,DZ,DZA,2013,9.81999969482422,,2022-12-22,Middle East & North Africa,Algiers,3.05097,36.7397,Lower middle income,IBRD
Algeria,DZ,DZA,2012,10.9700002670288,,2022-12-22,Middle East & North Africa,Algiers,3.05097,36.7397,Lower middle income,IBRD
Algeria,DZ,DZA,2011,9.96000003814697,,2022-12-22,Middle East & North Africa,Algiers,3.05097,36.7397,Lower middle income,IBRD
Algeria,DZ,DZA,2010,9.96000003814697,,2022-12-22,Middle East & North Africa,Algiers,3.05097,36.7397,Lower middle income,IBRD
Algeria,DZ,DZA,2009,10.1599998474121,,2022-12-22,Middle East & North Africa,Algiers,3.05097,36.7397,Lower middle income,IBRD
Algeria,DZ,DZA,2008,11.3299999237061,,2022-12-22,Middle East & North Africa,Algiers,3.05097,36.7397,Lower middle income,IBRD
Algeria,DZ,DZA,2007,13.789999961853,,2022-12-22,Middle East & North Africa,Algiers,3.05097,36.7397,Lower middle income,IBRD
Algeria,DZ,DZA,2006,12.2700004577637,,2022-12-22,Middle East & North Africa,Algiers,3.05097,36.7397,Lower middle income,IBRD
Algeria,DZ,DZA,2005,15.2700004577637,,2022-12-22,Middle East & North Africa,Algiers,3.05097,36.7397,Lower middle income,IBRD
Algeria,DZ,DZA,2004,17.6499996185303,,2022-12-22,Middle East & North Africa,Algiers,3.05097,36.7397,Lower middle income,IBRD
Algeria,DZ,DZA,2003,23.7199993133545,,2022-12-22,Middle East & North Africa,Algiers,3.05097,36.7397,Lower middle income,IBRD
Algeria,DZ,DZA,2002,25.8999996185303,,2022-12-22,Middle East & North Africa,Algiers,3.05097,36.7397,Lower middle income,IBRD
Algeria,DZ,DZA,2001,27.2999992370605,,2022-12-22,Middle East & North Africa,Algiers,3.05097,36.7397,Lower middle income,IBRD
Algeria,DZ,DZA,2000,29.7700004577637,,2022-12-22,Middle East & North Africa,Algiers,3.05097,36.7397,Lower middle income,IBRD
Algeria,DZ,DZA,1999,28.3020000457764,,2022-12-22,Middle East & North Africa,Algiers,3.05097,36.7397,Lower middle income,IBRD
Algeria,DZ,DZA,1998,26.6620006561279,,2022-12-22,Middle East & North Africa,Algiers,3.05097,36.7397,Lower middle income,IBRD
Algeria,DZ,DZA,1997,25.4300003051758,,2022-12-22,Middle East & North Africa,Algiers,3.05097,36.7397,Lower middle income,IBRD
Algeria,DZ,DZA,1996,28.5310001373291,,2022-12-22,Middle East & North Africa,Algiers,3.05097,36.7397,Lower middle income,IBRD
Algeria,DZ,DZA,1995,31.8400001525879,,2022-12-22,Middle East & North Africa,Algiers,3.05097,36.7397,Lower middle income,IBRD
Algeria,DZ,DZA,1994,27.7399997711182,,2022-12-22,Middle East & North Africa,Algiers,3.05097,36.7397,Lower middle income,IBRD
Algeria,DZ,DZA,1993,26.2299995422363,,2022-12-22,Middle East & North Africa,Algiers,3.05097,36.7397,Lower middle income,IBRD
Algeria,DZ,DZA,1992,24.3799991607666,,2022-12-22,Middle East & North Africa,Algiers,3.05097,36.7397,Lower middle income,IBRD
Algeria,DZ,DZA,1991,20.6000003814697,,2022-12-22,Middle East & North Africa,Algiers,3.05097,36.7397,Lower middle income,IBRD
Angola,AO,AGO,2021,8.52999973297119,,2022-12-22,Sub-Saharan Africa,Luanda,13.242,-8.81155,Lower middle income,IBRD
Angola,AO,AGO,2020,8.33300018310547,,2022-12-22,Sub-Saharan Africa,Luanda,13.242,-8.81155,Lower middle income,IBRD
Angola,AO,AGO,2019,7.4210000038147,,2022-12-22,Sub-Saharan Africa,Luanda,13.242,-8.81155,Lower middle income,IBRD
Angola,AO,AGO,2018,7.4210000038147,,2022-12-22,Sub-Saharan Africa,Luanda,13.242,-8.81155,Lower middle income,IBRD
Angola,AO,AGO,2017,7.40799999237061,,2022-12-22,Sub-Saharan Africa,Luanda,13.242,-8.81155,Lower middle income,IBRD
Angola,AO,AGO,2016,7.41200017929077,,2022-12-22,Sub-Saharan Africa,Luanda,13.242,-8.81155,Lower middle income,IBRD
Angola,AO,AGO,2015,7.39200019836426,,2022-12-22,Sub-Saharan Africa,Luanda,13.242,-8.81155,Lower middle income,IBRD
Angola,AO,AGO,2014,7.37200021743774,,2022-12-22,Sub-Saharan Africa,Luanda,13.242,-8.81155,Lower middle income,IBRD
Angola,AO,AGO,2013,7.36600017547607,,2022-12-22,Sub-Saharan Africa,Luanda,13.242,-8.81155,Lower middle income,IBRD
Angola,AO,AGO,2012,7.34700012207031,,2022-12-22,Sub-Saharan Africa,Luanda,13.242,-8.81155,Lower middle income,IBRD
Angola,AO,AGO,2011,7.3600001335144,,2022-12-22,Sub-Saharan Africa,Luanda,13.242,-8.81155,Lower middle income,IBRD
Angola,AO,AGO,2010,9.43000030517578,,2022-12-22,Sub-Saharan Africa,Luanda,13.242,-8.81155,Lower middle income,IBRD
Angola,AO,AGO,2009,3.77999997138977,,2022-12-22,Sub-Saharan Africa,Luanda,13.242,-8.81155,Lower middle income,IBRD
Angola,AO,AGO,2008,3.79299998283386,,2022-12-22,Sub-Saharan Africa,Luanda,13.242,-8.81155,Lower middle income,IBRD
Angola,AO,AGO,2007,3.82100009918213,,2022-12-22,Sub-Saharan Africa,Luanda,13.242,-8.81155,Lower middle income,IBRD
Angola,AO,AGO,2006,3.85800004005432,,2022-12-22,Sub-Saharan Africa,Luanda,13.242,-8.81155,Lower middle income,IBRD
Angola,AO,AGO,2005,3.88199996948242,,2022-12-22,Sub-Saharan Africa,Luanda,13.242,-8.81155,Lower middle income,IBRD
Angola,AO,AGO,2004,3.91599988937378,,2022-12-22,Sub-Saharan Africa,Luanda,13.242,-8.81155,Lower middle income,IBRD
Angola,AO,AGO,2003,3.95799994468689,,2022-12-22,Sub-Saharan Africa,Luanda,13.242,-8.81155,Lower middle income,IBRD
Angola,AO,AGO,2002,3.96099996566772,,2022-12-22,Sub-Saharan Africa,Luanda,13.242,-8.81155,Lower middle income,IBRD
Angola,AO,AGO,2001,4.00400018692017,,2022-12-22,Sub-Saharan Africa,Luanda,13.242,-8.81155,Lower middle income,IBRD
Angola,AO,AGO,2000,4.03000020980835,,2022-12-22,Sub-Saharan Africa,Luanda,13.242,-8.81155,Lower middle income,IBRD
Angola,AO,AGO,1999,4.05499982833862,,2022-12-22,Sub-Saharan Africa,Luanda,13.242,-8.81155,Lower middle income,IBRD
Angola,AO,AGO,1998,4.07200002670288,,2022-12-22,Sub-Saharan Africa,Luanda,13.242,-8.81155,Lower middle income,IBRD
Angola,AO,AGO,1997,4.08799982070923,,2022-12-22,Sub-Saharan Africa,Luanda,13.242,-8.81155,Lower middle income,IBRD
Angola,AO,AGO,1996,4.09700012207031,,2022-12-22,Sub-Saharan Africa,Luanda,13.242,-8.81155,Lower middle income,IBRD
Angola,AO,AGO,1995,4.11399984359741,,2022-12-22,Sub-Saharan Africa,Luanda,13.242,-8.81155,Lower middle income,IBRD
Angola,AO,AGO,1994,4.16200017929077,,2022-12-22,Sub-Saharan Africa,Luanda,13.242,-8.81155,Lower middle income,IBRD
Angola,AO,AGO,1993,4.23099994659424,,2022-12-22,Sub-Saharan Africa,Luanda,13.242,-8.81155,Lower middle income,IBRD
Angola,AO,AGO,1992,4.20800018310547,,2022-12-22,Sub-Saharan Africa,Luanda,13.242,-8.81155,Lower middle income,IBRD
Angola,AO,AGO,1991,4.20800018310547,,2022-12-22,Sub-Saharan Africa,Luanda,13.242,-8.81155,Lower middle income,IBRD
Arab World,1A,ARB,2020,11.5202350201292,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Arab World,1A,ARB,2019,10.0103152702784,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Arab World,1A,ARB,2018,10.5225065630727,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Arab World,1A,ARB,2017,10.9343171762254,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Arab World,1A,ARB,2016,10.7988499574346,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Arab World,1A,ARB,2015,11.0066534313678,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Arab World,1A,ARB,2014,10.9078425483051,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Arab World,1A,ARB,2013,10.754894443843,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Arab World,1A,ARB,2012,10.6680368302663,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Arab World,1A,ARB,2011,10.4842622707153,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Arab World,1A,ARB,2010,9.39381162578874,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Arab World,1A,ARB,2021,11.6907448502817,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Arab World,1A,ARB,2007,10.0050384201057,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Arab World,1A,ARB,2000,12.4506152039439,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Arab World,1A,ARB,1999,11.9603017975749,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Arab World,1A,ARB,1998,11.8269705131566,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Arab World,1A,ARB,2009,9.31426523517649,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Arab World,1A,ARB,2008,9.70549535709929,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Arab World,1A,ARB,1996,12.2356133147822,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Arab World,1A,ARB,2006,10.4208748063605,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Arab World,1A,ARB,2005,11.1785711641414,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Arab World,1A,ARB,2004,11.3114350789445,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Arab World,1A,ARB,2003,12.3150506988743,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Arab World,1A,ARB,2001,12.3419029471241,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Arab World,1A,ARB,1995,13.1699129752485,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Arab World,1A,ARB,1997,11.8081229200177,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Arab World,1A,ARB,1991,11.5895834784186,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Arab World,1A,ARB,2002,12.3620726241672,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Arab World,1A,ARB,1993,12.6039525741202,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Arab World,1A,ARB,1992,11.8842353191226,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Arab World,1A,ARB,1994,12.6860007642332,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Argentina,AR,ARG,2021,10.9020004272461,,2022-12-22,Latin America & Caribbean,Buenos Aires,-58.4173,-34.6118,Upper middle income,IBRD
Argentina,AR,ARG,2020,11.460000038147,,2022-12-22,Latin America & Caribbean,Buenos Aires,-58.4173,-34.6118,Upper middle income,IBRD
Argentina,AR,ARG,2019,9.84000015258789,,2022-12-22,Latin America & Caribbean,Buenos Aires,-58.4173,-34.6118,Upper middle income,IBRD
Argentina,AR,ARG,2018,9.22000026702881,,2022-12-22,Latin America & Caribbean,Buenos Aires,-58.4173,-34.6118,Upper middle income,IBRD
Argentina,AR,ARG,2017,8.35000038146973,,2022-12-22,Latin America & Caribbean,Buenos Aires,-58.4173,-34.6118,Upper middle income,IBRD
