country,iso2c,iso3c,year,fdi,status,lastupdated,region,capital,longitude,latitude,income,lending
Afghanistan,AF,AFG,1975,NA,,2022-12-22,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1974,NA,,2022-12-22,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1973,270000,,2022-12-22,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1972,150000,,2022-12-22,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1971,450000,,2022-12-22,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1970,230000,,2022-12-22,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1983,0,,2022-12-22,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1982,100000,,2022-12-22,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1981,180000,,2022-12-22,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1980,9000000,,2022-12-22,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1979,1200000,,2022-12-22,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1978,NA,,2022-12-22,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1986,0,,2022-12-22,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1985,0,,2022-12-22,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1988,0,,2022-12-22,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1987,400000,,2022-12-22,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1984,0,,2022-12-22,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Africa Eastern and Southern,ZH,AFE,2009,18484265031.8363,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1984,598858245.285658,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2010,13934880641.4841,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2008,22483230616.7784,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2011,17538712523.6727,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1979,-12312370.2354044,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1982,581698643.395738,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1977,67103622.206923,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1980,483620276.464599,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1975,316834707.284757,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1978,168439069.521513,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1970,421709865.5601,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1971,326490932.3561,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2012,24636342686.2413,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1983,86246455.0162176,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1999,6254803630.58533,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1998,4121573935.1936,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1981,372130053.332138,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2021,52441985687.5174,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2007,16122284835.672,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2006,7234542919.62867,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1976,411261082.713661,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2004,7979691821.36791,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1974,898515563.30674,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1973,176559138.7134,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1985,106432296.255464,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1987,279804684.253772,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1988,536594623.832505,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2000,4315007316.09404,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2019,14993516350.8774,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1997,5757027922.5158005,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1996,2087426790.37505,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2020,12511166561.9794,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2015,28774229517.0523,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2018,13591471906.0997,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2017,10035440768.6852,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2016,16632780787.7771,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1995,2662958896.26387,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1972,218888245.6811,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2013,21534249243.819,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2001,12205013826.7178,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1991,1241968645.57255,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1994,1187864680.17484,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1993,839509681.785947,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2005,10333884246.5645,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1989,400488555.909831,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2003,8555149192.20714,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2014,27681419157.2265,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1986,411045300.703155,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1992,652324976.317141,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1990,88673056.8135137,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2002,6464121932.6931,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1990,1073307823.62589,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1976,605378805.497151,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1991,837652709.306607,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1975,969105150.470566,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1974,518269117.686841,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1977,778790474.853075,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2016,13937041742.1202,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2019,12378736009.5156,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2018,15492052448.3249,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2017,17662420840.067,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1971,388679999.7,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1973,642409999.5,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1972,476659999,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1992,1214631404.05396,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1978,751399198.553945,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2020,10851115143.8377,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2006,9202356526.48961,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2005,9278129441.98704,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1989,2569136447.72938,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1988,973621876.651453,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1987,1037919132.48478,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1986,204429670.558956,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1985,893620026.79566,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1984,338951391.008596,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1983,768217164.303354,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1982,878530340.393694,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1981,1172896062.16749,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1993,1757936795.50148,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2021,19572823139.1956,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2008,16317443289.6163,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2007,13030657207.3048,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2004,4653748699.63047,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2003,5262166817.82817,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2002,4408519415.31893,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2015,15643172769.1792,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2014,16598028196.8167,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2013,19157553412.434,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2012,20912687292.4711,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2011,24501138032.0393,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2010,18874323022.7195,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1979,785673507.757542,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1994,2389930550.70975,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1998,1897977339.26375,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2001,3224338688.16353,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1970,407459999.6,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1999,2391058451.98006,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2009,18159745850.629,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1997,1622432324.65205,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2000,2560094804.89139,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1980,-228089204.802763,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1995,945428066.172441,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1996,1182474450.17045,,2022-12-22,Aggregates,,,,Aggregates,Aggregates
Albania,AL,ALB,1974,NA,,2022-12-22,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,1973,NA,,2022-12-22,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,1980,0,,2022-12-22,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,1979,NA,,2022-12-22,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,1978,NA,,2022-12-22,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,1977,NA,,2022-12-22,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,1976,NA,,2022-12-22,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,1975,NA,,2022-12-22,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,2002,135000000,,2022-12-22,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,2001,207300000,,2022-12-22,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,1972,NA,,2022-12-22,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,1971,NA,,2022-12-22,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,1970,NA,,2022-12-22,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,2010,1089898207.57431,,2022-12-22,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,2009,1345415233.65619,,2022-12-22,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,2008,1247181714.30558,,2022-12-22,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,2007,652275603.722803,,2022-12-22,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,2006,325138316.803697,,2022-12-22,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,2005,262479012.637464,,2022-12-22,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,2004,341285112.537562,,2022-12-22,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,2003,178036400.666667,,2022-12-22,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,1988,0,,2022-12-22,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,1987,0,,2022-12-22,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,1986,0,,2022-12-22,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,1985,0,,2022-12-22,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,1984,0,,2022-12-22,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,1983,0,,2022-12-22,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,1982,0,,2022-12-22,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,1981,0,,2022-12-22,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,2021,1218586452.37158,,2022-12-22,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,2020,1069744879.65453,,2022-12-22,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,2019,1201022154.46643,,2022-12-22,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,2018,1204383363.60476,,2022-12-22,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,2017,1022757857.07377,,2022-12-22,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,2016,1044389554.85795,,2022-12-22,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,2015,989578334.828615,,2022-12-22,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,2014,1149927985.77736,,2022-12-22,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,2013,1254150555.51294,,2022-12-22,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,2012,917994575.801857,,2022-12-22,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,2011,1048706682.05458,,2022-12-22,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,1997,47500000,,2022-12-22,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,1996,90100000,,2022-12-22,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,1995,70000000,,2022-12-22,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,1994,53000000,,2022-12-22,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,1993,58000000,,2022-12-22,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,1992,20000000,,2022-12-22,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,1991,0,,2022-12-22,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,1990,0,,2022-12-22,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,1989,0,,2022-12-22,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,2000,143000000,,2022-12-22,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,1999,41200000,,2022-12-22,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,1998,45010000,,2022-12-22,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Algeria,DZ,DZA,2012,1500402452.8635,,2022-12-22,Middle East & North Africa,Algiers,3.05097,36.7397,Lower middle income,IBRD
Algeria,DZ,DZA,2021,869681818.9,,2022-12-22,Middle East & North Africa,Algiers,3.05097,36.7397,Lower middle income,IBRD
Algeria,DZ,DZA,2020,1126709389.50815,,2022-12-22,Middle East & North Africa,Algiers,3.05097,36.7397,Lower middle income,IBRD
Algeria,DZ,DZA,2019,1381200049.59264,,2022-12-22,Middle East & North Africa,Algiers,3.05097,36.7397,Lower middle income,IBRD
Algeria,DZ,DZA,2018,1466116068.03412,,2022-12-22,Middle East & North Africa,Algiers,3.05097,36.7397,Lower middle income,IBRD
Algeria,DZ,DZA,2017,1230243450.87889,,2022-12-22,Middle East & North Africa,Algiers,3.05097,36.7397,Lower middle income,IBRD
Algeria,DZ,DZA,2016,1638263953.77737,,2022-12-22,Middle East & North Africa,Algiers,3.05097,36.7397,Lower middle income,IBRD
Algeria,DZ,DZA,2015,-537792920.921856,,2022-12-22,Middle East & North Africa,Algiers,3.05097,36.7397,Lower middle income,IBRD
Algeria,DZ,DZA,2014,1502206170.55838,,2022-12-22,Middle East & North Africa,Algiers,3.05097,36.7397,Lower middle income,IBRD
Algeria,DZ,DZA,2013,1691886707.50796,,2022-12-22,Middle East & North Africa,Algiers,3.05097,36.7397,Lower middle income,IBRD
Algeria,DZ,DZA,1999,291600000,,2022-12-22,Middle East & North Africa,Algiers,3.05097,36.7397,Lower middle income,IBRD
Algeria,DZ,DZA,1998,606600000,,2022-12-22,Middle East & North Africa,Algiers,3.05097,36.7397,Lower middle income,IBRD
Algeria,DZ,DZA,1997,260000000,,2022-12-22,Middle East & North Africa,Algiers,3.05097,36.7397,Lower middle income,IBRD
Algeria,DZ,DZA,1996,270000000,,2022-12-22,Middle East & North Africa,Algiers,3.05097,36.7397,Lower middle income,IBRD
Algeria,DZ,DZA,1995,1000,,2022-12-22,Middle East & North Africa,Algiers,3.05097,36.7397,Lower middle income,IBRD
Algeria,DZ,DZA,1994,1000,,2022-12-22,Middle East & North Africa,Algiers,3.05097,36.7397,Lower middle income,IBRD
Algeria,DZ,DZA,1993,1000,,2022-12-22,Middle East & North Africa,Algiers,3.05097,36.7397,Lower middle income,IBRD
Algeria,DZ,DZA,1992,30000000,,2022-12-22,Middle East & North Africa,Algiers,3.05097,36.7397,Lower middle income,IBRD
Algeria,DZ,DZA,1991,11638686.4524336,,2022-12-22,Middle East & North Africa,Algiers,3.05097,36.7397,Lower middle income,IBRD
Algeria,DZ,DZA,1990,334914.564224985,,2022-12-22,Middle East & North Africa,Algiers,3.05097,36.7397,Lower middle income,IBRD
Algeria,DZ,DZA,1989,12091646.7968636,,2022-12-22,Middle East & North Africa,Algiers,3.05097,36.7397,Lower middle income,IBRD
Algeria,DZ,DZA,1988,13018265.0203164,,2022-12-22,Middle East & North Africa,Algiers,3.05097,36.7397,Lower middle income,IBRD
Algeria,DZ,DZA,1987,3711537.89978504,,2022-12-22,Middle East & North Africa,Algiers,3.05097,36.7397,Lower middle income,IBRD
